,question,gameID,round_list
0,['23'],1,1
1,['23'],1,1
2,['3'],1,2
3,['3'],1,2
4,['28'],1,2
5,['28'],1,2
6,['30'],2,1
7,['30'],2,1
8,['15'],2,2
9,['15'],2,2
10,['23'],2,2
11,['23'],2,2
12,['23'],3,1
13,['23'],3,1
14,['6'],3,2
15,['6'],3,2
16,['20'],3,2
17,['20'],3,2
18,['14'],4,1
19,['14'],4,1
20,['4'],4,2
21,['4'],4,2
22,['14'],4,2
23,['14'],4,2
24,['24'],5,1
25,['24'],5,1
26,['10'],5,2
27,['10'],5,2
28,['21'],5,2
29,['21'],5,2
30,['15'],6,1
31,['15'],6,1
32,['4'],6,2
33,['4'],6,2
34,['20'],6,2
35,['20'],6,2
36,['18'],7,1
37,['18'],7,1
38,['9'],7,2
39,['9'],7,2
40,['24'],7,2
41,['24'],7,2
42,['28'],8,1
43,['28'],8,1
44,['9'],8,2
45,['9'],8,2
46,['13'],8,2
47,['13'],8,2
48,['29'],9,1
49,['29'],9,1
50,['10'],9,2
51,['10'],9,2
52,['18'],9,2
53,['18'],9,2
54,['15'],10,1
55,['15'],10,1
56,['22'],10,2
57,['22'],10,2
58,['25'],10,2
59,['25'],10,2
60,['9'],11,1
61,['9'],11,1
62,['27'],11,2
63,['27'],11,2
64,['29'],11,2
65,['29'],11,2
66,['29'],12,1
67,['29'],12,1
68,['3'],12,2
69,['3'],12,2
70,['20'],12,2
71,['20'],12,2
72,['21'],13,1
73,['21'],13,1
74,['10'],13,2
75,['10'],13,2
76,['19'],13,2
77,['19'],13,2
78,['15'],14,1
79,['15'],14,1
80,['3'],14,2
81,['3'],14,2
82,['29'],14,2
83,['29'],14,2
84,['8'],15,1
85,['8'],15,1
86,['2'],15,2
87,['2'],15,2
88,['15'],15,2
89,['15'],15,2
90,['5'],16,1
91,['5'],16,1
92,['18'],16,2
93,['18'],16,2
94,['21'],16,2
95,['21'],16,2
96,['24'],17,1
97,['24'],17,1
98,['9'],17,2
99,['9'],17,2
100,['18'],17,2
101,['18'],17,2
102,['5'],18,1
103,['5'],18,1
104,['7'],18,2
105,['7'],18,2
106,['19'],18,2
107,['19'],18,2
108,['5'],19,1
109,['5'],19,1
110,['3'],19,2
111,['3'],19,2
112,['17'],19,2
113,['17'],19,2
114,['19'],20,1
115,['19'],20,1
116,['3'],20,2
117,['3'],20,2
118,['8'],20,2
119,['8'],20,2
120,['4'],21,1
121,['4'],21,1
122,['5'],21,2
123,['5'],21,2
124,['17'],21,2
125,['17'],21,2
126,['9'],22,1
127,['9'],22,1
128,['15'],22,2
129,['15'],22,2
130,['28'],22,2
131,['28'],22,2
132,['27'],23,1
133,['27'],23,1
134,['3'],23,2
135,['3'],23,2
136,['14'],23,2
137,['14'],23,2
138,['29'],24,1
139,['29'],24,1
140,['13'],24,2
141,['13'],24,2
142,['28'],24,2
143,['28'],24,2
144,['18'],25,1
145,['18'],25,1
146,['25'],25,2
147,['25'],25,2
148,['29'],25,2
149,['29'],25,2
150,['5'],26,1
151,['5'],26,1
152,['19'],26,2
153,['19'],26,2
154,['29'],26,2
155,['29'],26,2
156,['22'],27,1
157,['22'],27,1
158,['14'],27,2
159,['14'],27,2
160,['19'],27,2
161,['19'],27,2
162,['6'],28,1
163,['6'],28,1
164,['4'],28,2
165,['4'],28,2
166,['25'],28,2
167,['25'],28,2
168,['14'],29,1
169,['14'],29,1
170,['18'],29,2
171,['18'],29,2
172,['28'],29,2
173,['28'],29,2
174,['24'],30,1
175,['24'],30,1
176,['15'],30,2
177,['15'],30,2
178,['23'],30,2
179,['23'],30,2
180,['5'],31,1
181,['5'],31,1
182,['7'],31,2
183,['7'],31,2
184,['6'],32,1
185,['6'],32,1
186,['19'],32,2
187,['19'],32,2
188,['30'],32,2
189,['30'],32,2
190,['27'],33,1
191,['27'],33,1
192,['3'],33,2
193,['3'],33,2
194,['29'],33,2
195,['29'],33,2
196,['28'],34,1
197,['28'],34,1
198,['14'],34,2
199,['14'],34,2
200,['29'],34,2
201,['29'],34,2
202,['5'],35,1
203,['5'],35,1
204,['5'],36,1
205,['5'],36,1
206,['13'],36,2
207,['13'],36,2
208,['28'],36,2
209,['28'],36,2
210,['13'],37,1
211,['13'],37,1
212,['4'],37,2
213,['4'],37,2
214,['25'],37,2
215,['25'],37,2
216,['5'],38,1
217,['5'],38,1
218,['11'],38,2
219,['11'],38,2
220,['26'],38,2
221,['26'],38,2
222,['24'],39,1
223,['24'],39,1
224,['18'],39,2
225,['18'],39,2
226,['22'],39,2
227,['22'],39,2
228,['9'],40,1
229,['9'],40,1
230,['5'],40,2
231,['5'],40,2
232,['24'],40,2
233,['24'],40,2
234,['12'],41,1
235,['12'],41,1
236,['18'],41,2
237,['18'],41,2
238,['29'],41,2
239,['29'],41,2
240,['4'],42,1
241,['4'],42,1
242,['23'],42,2
243,['23'],42,2
244,['25'],42,2
245,['25'],42,2
246,['5'],43,1
247,['5'],43,1
248,['10'],43,2
249,['10'],43,2
250,['22'],43,2
251,['22'],43,2
252,['3'],44,1
253,['3'],44,1
254,['8'],44,2
255,['8'],44,2
256,['14'],44,2
257,['14'],44,2
258,['30'],45,1
259,['30'],45,1
260,['4'],45,2
261,['4'],45,2
262,['15'],45,2
263,['15'],45,2
264,['13'],46,1
265,['13'],46,1
266,['19'],46,2
267,['19'],46,2
268,['27'],46,2
269,['27'],46,2
270,['25'],47,1
271,['25'],47,1
272,['4'],47,2
273,['4'],47,2
274,['25'],47,2
275,['25'],47,2
276,['21'],48,1
277,['21'],48,1
278,['6'],48,2
279,['6'],48,2
280,['28'],48,2
281,['28'],48,2
282,['16'],49,1
283,['16'],49,1
284,['14'],49,2
285,['14'],49,2
286,['20'],49,2
287,['20'],49,2
288,['20'],50,1
289,['20'],50,1
290,['16'],50,2
291,['16'],50,2
292,['29'],50,2
293,['29'],50,2
294,['29'],51,1
295,['29'],51,1
296,['5'],51,2
297,['5'],51,2
298,['19'],51,2
299,['19'],51,2
